StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q6,Q1,Q20,Q23,Q24_1,Q25,Q26,Q28_1,Q31,Q30,Q29_1,Q34,Q33,Q32_1,Q35,Q36,Q37_1,Q38,Q40,Q39_1,Q43,Q42,Q41_1,Q46,Q48,Q44_1,Q49,Q45,Q47_1,Q52,Q51,Q50_1,Q55,Q54,Q53_1,Q58,Q57,Q56_1,Q5,Q5_11_TEXT,Q7,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q10,Q10_8_TEXT,Q11,Q11_5_TEXT,Q12,Q12_6_TEXT,Q13,Q13_6_TEXT,Q14,Q14_7_TEXT,Q63,Q59,Q60,Q61,Q62,Q12_6_TEXT - Topics
2018-11-20 17:16:45,2018-11-20 17:19:15,IP Address,100,150,True,2018-11-20 17:19:16,R_ZgDCS1DgWHytI1r,email,EN,I consent to taking part in this survey.,"Service,Social,Varsity Sports Team",2,"1 ",1,4,2,2,,,,,,,,,,,,,,,,,,,,,,20+,"1 ",9,,,,,,,Other,"I don’t watch tv or use any of the above entertainment ",,,,,,,,,,"Caucasian ",,Female,,2019,,,,"River Central (Adams, Lowell, Quincy)",,8,Government,,,,
2018-11-20 17:40:37,2018-11-20 17:43:29,IP Address,100,171,True,2018-11-20 17:43:30,R_3nwV8tFpMgP4m70,email,EN,I consent to taking part in this survey.,"Arts & Music,Club Sports Team",,,,,,,,,,2,2,5,,,,,,,,,,,,,,,,,,,6,"1 ",10,,,,"Netflix,YouTube or YouTube TV",,2,Less than half the time spent in class,Usually with others,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,"Caucasian ",,Female,,2021,,,,"River West (Eliot, Kirkland, Winthrop)",,5,Government,,,,
2018-11-20 19:15:24,2018-11-20 19:18:53,IP Address,100,209,True,2018-11-20 19:18:54,R_1mCW17fnYMHEafh,email,EN,I consent to taking part in this survey.,"Service,Pre-Professional","1 ","1 ",,,,,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hulu,Netflix,Amazon Prime Video",,1,Less than half the time spent in class,About equally by myself and with others,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly Agree,Strongly disagree,"Caucasian ",,Female,,2022,,"Crimson Yard (Greenough, Hurlbut, Pennypacker, Wigglesworth)",,,,,Environmental Science and Engineering,,,,
2018-11-20 18:40:41,2018-11-20 19:21:05,IP Address,100,2423,True,2018-11-20 19:21:05,R_2CTxi2MjfNBXhIm,email,EN,I consent to taking part in this survey.,"Social,Pre-Professional",,,,7,"1 ",10,2,"1 ",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Netflix,YouTube or YouTube TV",,1,Less than half the time spent in class,Sometimes by myself,Somewhat agree,Somewhat agree,,Strongly disagree,Strongly Agree,Strongly disagree,Black/African,,Female,,2022,,"Crimson Yard (Greenough, Hurlbut, Pennypacker, Wigglesworth)",,,,,Social Studies,,,,
2018-11-20 19:53:59,2018-11-20 19:57:56,IP Address,100,236,True,2018-11-20 19:57:56,R_9Zki4qahoDIqEhj,email,EN,I consent to taking part in this survey.,"Service,Arts & Music,Club Sports Team",3,"1 ",4,,,,,,,5,"1 ",4,,,,,,,,,,,,,,,,,,,"1 ","1 ",1,,,,Netflix,,12,About the same amount of time as the time spent in class,Usually by myself,Strongly Agree,Strongly Agree,Somewhat agree,Somewhat agree,Neutral,Strongly Agree,"Caucasian ",,Female,,2022,,"Elm Yard (Grays, Matthews, Weld)",,,,,Chemistry,,,,
2018-11-20 20:58:49,2018-11-20 21:05:45,IP Address,100,415,True,2018-11-20 21:05:45,R_1LZMj0hVw042cPu,email,EN,I consent to taking part in this survey.,"Service,Arts & Music,Research,IM Sports",3,2,6,,,,,,,3,"1 ",8,,,,8,"1 ",9,,,,,,,,,,,,,,,,2,2,4,"Hulu,Netflix",,2,Less than half the time spent in class,Sometimes by myself,Strongly Agree,Somewhat agree,Strongly disagree,Neutral,Strongly Agree,Strongly disagree,"Caucasian ,Hispanic/Latinx",,Female,,2019,,,,"River Central (Adams, Lowell, Quincy)",,2,Integrative Biology,,,,
2018-11-20 21:08:31,2018-11-20 21:11:11,IP Address,100,160,True,2018-11-20 21:11:11,R_3Lj3zBQoeoneIP8,email,EN,I consent to taking part in this survey.,Arts & Music,,,,,,,,,,2,"1 ",3,,,,,,,,,,,,,,,,,,,,,,,,,YouTube or YouTube TV,,2,Less than half the time spent in class,Usually by myself,Somewhat agree,Strongly Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Asian,,Female,,2022,,"Ivy Yard (Apley Court, Hollis, Holworthy, Lionel, Massachusetts Hall, Mower, Stoughton, Straus)",,,,,Statistics,,,,
2018-11-20 22:47:44,2018-11-20 22:50:51,IP Address,100,187,True,2018-11-20 22:50:52,R_3QFUoskZxfggMbP,email,EN,I consent to taking part in this survey.,"Pre-Professional,On-Campus Job (House Grill, Lamont Library, etc.)",,,,,,,"1 ","1 ",2,,,,,,,,,,2,"1 ",3,,,,,,,,,,,,,,,,YouTube or YouTube TV,,2,Less than half the time spent in class,Usually by myself,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Asian,,Prefer not to answer,,2022,,"Elm Yard (Grays, Matthews, Weld)",,,,,,,,,
2018-11-20 23:16:29,2018-11-20 23:20:45,IP Address,100,255,True,2018-11-20 23:20:45,R_1mIVRHJqBNTLJkv,email,EN,I consent to taking part in this survey.,"Social,Varsity Sports Team",,,,2,"1 ",3,,,,,,,,,,,,,,,,,,,,,,15,"1 ",8,,,,,,,"Hulu,Netflix,YouTube or YouTube TV",,1,Less than half the time spent in class,Usually by myself,Strongly Agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Black/African,,Female,,2022,,"Crimson Yard (Greenough, Hurlbut, Pennypacker, Wigglesworth)",,,,,Undecided,,,,
2018-11-21 08:04:59,2018-11-21 08:09:52,IP Address,100,292,True,2018-11-21 08:09:52,R_1rlF1DIfVzGgKEK,email,EN,I consent to taking part in this survey.,"Social,Pre-Professional,Arts & Music",,,,6,2,6,6,2,7,2,"1 ",3,,,,,,,,,,,,,,,,,,,,,,,,,"YouTube or YouTube TV,Other",Illegal streaming,1,Less than half the time spent in class,Usually with others,Strongly Agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly disagree,Asian,,Female,,2022,,"Elm Yard (Grays, Matthews, Weld)",,,,,Computer Science,,,,
2018-11-21 08:33:28,2018-11-21 08:36:20,IP Address,100,171,True,2018-11-21 08:36:20,R_32LaU2meazuCWNt,email,EN,I consent to taking part in this survey.,"Social,Research,Club Sports Team",,,,2,"1 ",4,,,,,,,,,,5,"1 ",5,,,,,,,,,,,,,15,2,10,,,,"Netflix,YouTube or YouTube TV",,10,Between half the time and the full time spent in class,Usually by myself,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,"Caucasian ",,Male,,2021,,,,"River Central (Adams, Lowell, Quincy)",,,,,,,
2018-11-21 09:04:34,2018-11-21 09:07:40,IP Address,100,185,True,2018-11-21 09:07:40,R_4Pikvyra8SyujUl,email,EN,I consent to taking part in this survey.,"Politics,On-Campus Job (House Grill, Lamont Library, etc.),Varsity Sports Team",,,,,,,,,,,,,"1 ",2,,,,,5,"1 ",,,,,,,,9,"1 ",7,,,,,,,"Hulu,Netflix",,3,Less than half the time spent in class,Sometimes with others,Strongly Agree,Strongly Agree,Somewhat disagree,Somewhat agree,Strongly Agree,Strongly disagree,"Caucasian ",,Female,,2022,,"Oak Yard (Canaday, Thayer)",,,,,Anthropology,,,,
2018-11-21 10:45:34,2018-11-21 10:52:00,IP Address,100,385,True,2018-11-21 10:52:01,R_2uvqaJqBSyotH21,email,EN,I consent to taking part in this survey.,Varsity Sports Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,20+,"1 ",10,,,,,,,"Netflix,HBO Now or HBO Go",,1,Less than half the time spent in class,Usually by myself,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Somewhat disagree,"Caucasian ",,Male,,2019,,,,"River West (Eliot, Kirkland, Winthrop)",,8,Applied Mathematics,,,,
2018-11-21 17:32:49,2018-11-21 17:36:30,IP Address,100,221,True,2018-11-21 17:36:30,R_2u9pP7S454jv3GN,email,EN,I consent to taking part in this survey.,"Social,Arts & Music,On-Campus Job (House Grill, Lamont Library, etc.)",,,,10,,6,,,,16,3,9,,,,,,,6,"1 ",5,,,,,,,,,,,,,,,,"Netflix,YouTube or YouTube TV",,2,Less than half the time spent in class,Usually by myself,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,"Caucasian ",,Female,,2022,,"Oak Yard (Canaday, Thayer)",,,,,History,,,,
2018-11-21 18:10:56,2018-11-21 18:14:01,IP Address,100,185,True,2018-11-21 18:14:01,R_5BVG5VmCuI4m23f,email,EN,I consent to taking part in this survey.,"Service,Pre-Professional,Arts & Music,Research,IM Sports","1 ","1 ",2,,,,10,"1 ",9,7,"1 ",5,,,,6,"1 ",6,,,,,,,,,,,,,,,,"1 ",2,1,"Netflix,Amazon Prime Video",,,Less than half the time spent in class,Usually by myself,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Black/African,,Female,,2021,,,,"River Central (Adams, Lowell, Quincy)",,5,Molecular and Cellular Biology,,,,
2018-11-21 19:30:56,2018-11-21 19:34:10,IP Address,100,194,True,2018-11-21 19:34:11,R_2Cg1z4E7yMCLQPs,email,EN,I consent to taking part in this survey.,"Service,Social",8,2,6,3,"1 ",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Netflix,YouTube or YouTube TV",,7,Between half the time and the full time spent in class,Usually by myself,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neutral,Strongly disagree,Prefer not to answer,,Male,,2019,,,,"The Quad (Cabot, Currier, Pfoho)",,6,Linguistics,,,,
2018-11-22 20:51:32,2018-11-22 20:54:10,IP Address,100,157,True,2018-11-22 20:54:10,R_1M0WnqpbpKxhAYr,email,EN,I consent to taking part in this survey.,"Arts & Music,IM Sports",,,,,,,,,,5,"1 ",2,,,,,,,,,,,,,,,,,,,,,,2,"1 ",4,,,,Less than half the time spent in class,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Asian,,Male,,2022,,"Crimson Yard (Greenough, Hurlbut, Pennypacker, Wigglesworth)",,,,,Applied Mathematics,,,,
2018-11-20 21:59:20,2018-11-22 22:37:50,IP Address,100,175109,True,2018-11-22 22:37:50,R_b7xnkO9gz5tlcEV,email,EN,I consent to taking part in this survey.,"Service,Pre-Professional,On-Campus Job (House Grill, Lamont Library, etc.),Tutoring/CA/TF",5,2,4,,,,18,"1 ",9,,,,,,,,,,2,"1 ",3,,,,"1 ","1 ",2,,,,,,,,,,"Hulu,Netflix",,2,Less than half the time spent in class,Usually by myself,Somewhat agree,Strongly Agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Black/African,,Male,,2022,,"Elm Yard (Grays, Matthews, Weld)",,,,,Social Studies,,,,
2018-11-23 08:27:14,2018-11-23 08:31:37,IP Address,100,262,True,2018-11-23 08:31:37,R_z05Txi69WjgfnZn,email,EN,I consent to taking part in this survey.,Varsity Sports Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,20+,2,10,,,,,,,Netflix,,2,Less than half the time spent in class,Usually with others,Somewhat agree,Strongly Agree,Somewhat disagree,Neutral,Somewhat agree,Neutral,"Caucasian ",,Male,,2022,,"Crimson Yard (Greenough, Hurlbut, Pennypacker, Wigglesworth)",,,,,,,,,
2018-11-23 11:25:26,2018-11-23 11:27:53,IP Address,100,146,True,2018-11-23 11:27:53,R_3D1pmm7AYjePxGz,email,EN,I consent to taking part in this survey.,"Service,Arts & Music,Politics",2,"1 ",2,,,,,,,2,"1 ",4,2,"1 ",5,,,,,,,,,,,,,,,,,,,,,,"Netflix,YouTube or YouTube TV",,2,Less than half the time spent in class,Usually with others,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly disagree,"Caucasian ,Hispanic/Latinx",,Female,,2022,,"Elm Yard (Grays, Matthews, Weld)",,,,,Undecided,,,,
2018-11-23 13:36:29,2018-11-23 13:41:46,IP Address,100,316,True,2018-11-23 13:41:47,R_1Okjc3qkXOdbeiD,email,EN,I consent to taking part in this survey.,Varsity Sports Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,20+,,10,,,,,,,"Netflix,Amazon Prime Video,YouTube or YouTube TV",,1,Less than half the time spent in class,Usually by myself,Strongly Agree,Somewhat agree,Strongly Agree,Somewhat disagree,Strongly Agree,Strongly disagree,Hispanic/Latinx,,Female,,2022,,"Crimson Yard (Greenough, Hurlbut, Pennypacker, Wigglesworth)",,,,,Undecided,,,,
2018-11-23 19:59:39,2018-11-23 20:02:00,IP Address,100,140,True,2018-11-23 20:02:01,R_3HSIXtl9XwfORSP,email,EN,I consent to taking part in this survey.,"Social,Arts & Music,Club Sports Team,IM Sports",,,,5,2,6,,,,3,"1 ",7,,,,,,,,,,,,,,,,,,,"1 ","1 ",,5,,7,"Netflix,YouTube or YouTube TV",,6,Between half the time and the full time spent in class,Usually by myself,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Hispanic/Latinx,,Male,,2021,,,,"The Quad (Cabot, Currier, Pfoho)",,8,Human Evolutionary Biology,,,,
2018-11-24 13:01:21,2018-11-24 13:06:02,IP Address,100,280,True,2018-11-24 13:06:03,R_2ExT1TuYoBpK7A4,email,EN,I consent to taking part in this survey.,"Politics,Club Sports Team,IM Sports",,,,,,,,,,,,,"1 ","1 ",2,,,,,,,,,,,,,,,,10,3,7,"1 ",2,4,"HBO Now or HBO Go,YouTube or YouTube TV",,10,About the same amount of time as the time spent in class,Usually by myself,Somewhat agree,Strongly Agree,Strongly Agree,Somewhat agree,Somewhat agree,Strongly disagree,"Caucasian ",,Male,,2022,,"Ivy Yard (Apley Court, Hollis, Holworthy, Lionel, Massachusetts Hall, Mower, Stoughton, Straus)",,,,,Undecided,,,,
2018-11-24 18:49:04,2018-11-24 18:51:28,IP Address,100,143,True,2018-11-24 18:51:28,R_1FIzKTT9PhVFsYp,email,EN,I consent to taking part in this survey.,"Service,Club Sports Team",15,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"1 ",2,,,,Netflix,,1,Less than half the time spent in class,Usually with others,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,"Caucasian ",,Female,,2022,,"Elm Yard (Grays, Matthews, Weld)",,,,,Undecided,,,,
2018-11-24 18:47:29,2018-11-24 18:57:21,IP Address,100,591,True,2018-11-24 18:57:21,R_1DqduETPLud1xNp,email,EN,I consent to taking part in this survey.,"Social,Pre-Professional,Politics,IM Sports",,,,5,"1 ",7,10,2,7,,,,5,"1 ",5,,,,,,,,,,,,,,,,,,,2,"1 ",2,YouTube or YouTube TV,,5,Less than half the time spent in class,Usually by myself,Somewhat agree,Strongly Agree,Strongly Agree,Somewhat agree,Strongly disagree,Strongly disagree,"Caucasian ",,Male,,2022,,"Ivy Yard (Apley Court, Hollis, Holworthy, Lionel, Massachusetts Hall, Mower, Stoughton, Straus)",,,,,Economics,,,,
2018-11-24 19:16:02,2018-11-24 19:19:24,IP Address,100,202,True,2018-11-24 19:19:25,R_3jSRP8FthBzuMyS,email,EN,I consent to taking part in this survey.,Service,12,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hulu,Netflix",,14,Between the full time spent and class and double the time spent in class,Usually by myself,Strongly Agree,Strongly Agree,Somewhat disagree,Neutral,Strongly Agree,Strongly disagree,"Caucasian ",,Female,,2022,,"Ivy Yard (Apley Court, Hollis, Holworthy, Lionel, Massachusetts Hall, Mower, Stoughton, Straus)",,,,,Psychology,,,,
2018-11-24 19:22:39,2018-11-24 19:24:41,IP Address,100,121,True,2018-11-24 19:24:42,R_2WBhl5aSzfrc6D9,email,EN,I consent to taking part in this survey.,"Service,Social,Research,Varsity Sports Team","1 ","1 ",5,20+,"1 ",3,,,,,,,,,,3,"1 ",3,,,,,,,,,,20+,"1 ",9,,,,,,,"Netflix,HBO Now or HBO Go,YouTube or YouTube TV",,7,More than double the time spent in class,Usually by myself,Strongly Agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,"Asian,Caucasian ",,Male,,2020,,,,"River East (Dunster, Leverett, Mather)",,8,Statistics,,,,
2018-11-20 15:09:14,2018-11-24 19:27:20,IP Address,100,361086,True,2018-11-24 19:27:20,R_R7REfUIkBuXGlxL,email,EN,I consent to taking part in this survey.,"Social,Arts & Music",,,,3,"1 ",4,,,,5,"1 ",8,,,,,,,,,,,,,,,,,,,,,,,,,"Netflix,YouTube or YouTube TV",,1,Less than half the time spent in class,Usually by myself,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Neutral,Neutral,Asian,,Female,,2022,,"Crimson Yard (Greenough, Hurlbut, Pennypacker, Wigglesworth)",,,,,Undecided,,,,
2018-11-24 19:39:19,2018-11-24 19:42:18,IP Address,100,179,True,2018-11-24 19:42:18,R_vCrQA3YSQvuMvmh,email,EN,I consent to taking part in this survey.,Varsity Sports Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,"1 ",8,,,,,,,"Netflix,Sling TV",,2,Less than half the time spent in class,Usually by myself,Somewhat agree,Somewhat agree,Strongly disagree,Neutral,Somewhat agree,Strongly disagree,"Caucasian ",,Male,,2022,,"Elm Yard (Grays, Matthews, Weld)",,,,,Undecided,,,,
2018-11-24 20:46:56,2018-11-24 20:50:36,IP Address,100,220,True,2018-11-24 20:50:37,R_a623lgRLb1lc1KF,email,EN,I consent to taking part in this survey.,"Social,Pre-Professional,Arts & Music,Club Sports Team",,,,10,"1 ",9,"1 ",2,2,5,"1 ",7,,,,,,,,,,,,,,,,,,,2,"1 ",2,,,,"Netflix,HBO Now or HBO Go",,3,Less than half the time spent in class,Usually by myself,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly Agree,"Caucasian ",,Male,,2019,,,,"River East (Dunster, Leverett, Mather)",,5,Economics,,,,
2018-11-24 21:25:30,2018-11-24 21:28:06,IP Address,100,155,True,2018-11-24 21:28:06,R_1dvhEs6ceSFktrl,email,EN,I consent to taking part in this survey.,"Arts & Music,On-Campus Job (House Grill, Lamont Library, etc.)",,,,,,,,,,4,2,7,,,,,,,2,"1 ",5,,,,,,,,,,,,,,,,YouTube or YouTube TV,,3,Less than half the time spent in class,Sometimes by myself,Somewhat agree,Strongly Agree,Strongly Agree,Somewhat disagree,Somewhat agree,Neutral,Asian,,Female,,2022,,"Elm Yard (Grays, Matthews, Weld)",,,,,History and Science,,,,
2018-11-24 21:26:30,2018-11-24 21:29:31,IP Address,100,180,True,2018-11-24 21:29:31,R_3Gs3bDcKYOqL7NH,email,EN,I consent to taking part in this survey.,"Service,Pre-Professional,Research,Tutoring/CA/TF",3,"1 ",4,,,,3,"1 ",2,,,,,,,,,,,,,,,,8,2,7,,,,,,,,,,,,1,Less than half the time spent in class,Usually with others,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,"Caucasian ",,Female,,2020,,,,"River West (Eliot, Kirkland, Winthrop)",,7,Social Studies,,,,
2018-11-24 21:46:09,2018-11-24 21:50:18,IP Address,100,249,True,2018-11-24 21:50:19,R_89bCi4A2ljuUngB,email,EN,I consent to taking part in this survey.,"Service,Social,IM Sports",6,2,5,2,"1 ",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 ","1 ",,"Netflix,YouTube or YouTube TV",,2,Less than half the time spent in class,Usually by myself,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,"Caucasian ",,Male,,2022,,"Ivy Yard (Apley Court, Hollis, Holworthy, Lionel, Massachusetts Hall, Mower, Stoughton, Straus)",,,,,Engineering Sciences,,,,
2018-11-24 22:42:25,2018-11-24 22:51:04,IP Address,100,518,True,2018-11-24 22:51:04,R_2XhrP7i7KCxrVIq,email,EN,I consent to taking part in this survey.,"Arts & Music,Research,On-Campus Job (House Grill, Lamont Library, etc.),Tutoring/CA/TF",,,,,,,,,,5,"1 ",8,,,,5,"1 ",5,10,2,6,,,,4,"1 ",5,,,,,,,,,,"Hulu,Netflix,YouTube or YouTube TV",,10,About the same amount of time as the time spent in class,Usually with others,Strongly Agree,Strongly Agree,Somewhat agree,Somewhat disagree,Strongly Agree,Somewhat disagree,Asian,,Female,,2019,,,,"River West (Eliot, Kirkland, Winthrop)",,3,History and Literature,,,,
2018-11-25 04:30:40,2018-11-25 04:33:37,IP Address,100,176,True,2018-11-25 04:33:37,R_1mI2Nj1h2gykQqL,email,EN,I consent to taking part in this survey.,"Research,Varsity Sports Team,IM Sports",,,,,,,,,,,,,,,,7,"1 ",7,,,,,,,,,,20+,"1 ",10,,,,3,"1 ",3,"Netflix,Amazon Prime Video,YouTube or YouTube TV",,8,Less than half the time spent in class,Usually by myself,Strongly Agree,Strongly Agree,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,"Caucasian ",,Nonbinary,,2021,,,,"River Central (Adams, Lowell, Quincy)",,1,Integrative Biology,,,,
2018-11-25 08:54:53,2018-11-25 09:00:48,IP Address,100,354,True,2018-11-25 09:00:48,R_1dmJKV8kb2fZBTr,email,EN,I consent to taking part in this survey.,"Pre-Professional,IM Sports",,,,,,,10,2,8,,,,,,,,,,,,,,,,,,,,,,,,,2,"1 ",3,"HBO Now or HBO Go,YouTube or YouTube TV,Other",NBA League Pass,8,Between half the time and the full time spent in class,Usually with others,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly Agree,"Caucasian ",,Male,,2022,,"Ivy Yard (Apley Court, Hollis, Holworthy, Lionel, Massachusetts Hall, Mower, Stoughton, Straus)",,,,,Economics,,,,
2018-11-25 08:58:59,2018-11-25 09:02:11,IP Address,100,192,True,2018-11-25 09:02:11,R_An8tXfI4jMhtp8B,email,EN,I consent to taking part in this survey.,"Pre-Professional,Varsity Sports Team",,,,,,,"1 ","1 ",2,,,,,,,,,,,,,,,,,,,16,"1 ",9,,,,,,,"Netflix,YouTube or YouTube TV",,1,Less than half the time spent in class,,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Asian,,Female,,2022,,"Crimson Yard (Greenough, Hurlbut, Pennypacker, Wigglesworth)",,,,,Mathematics,,,,
2018-11-25 09:54:53,2018-11-25 09:59:03,IP Address,100,249,True,2018-11-25 09:59:04,R_3egkvlGppw4bi9p,email,EN,I consent to taking part in this survey.,Service,10,"1 ",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netflix,,5,Less than half the time spent in class,Usually by myself,Strongly Agree,Strongly Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,"Caucasian ",,Male,,2021,,,,"River Central (Adams, Lowell, Quincy)",,6,Social Studies,,,,
2018-11-25 10:38:41,2018-11-25 10:42:50,IP Address,100,249,True,2018-11-25 10:42:51,R_XOhMyrW3o8hMO6l,email,EN,I consent to taking part in this survey.,"Arts & Music,On-Campus Job (House Grill, Lamont Library, etc.),Varsity Sports Team",,,,,,,,,,5,"1 ",7,,,,,,,2,"1 ",3,,,,,,,18,"1 ",9,,,,,,,"Netflix,YouTube or YouTube TV,Other",Plex,3,About the same amount of time as the time spent in class,Usually by myself,Strongly Agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly Agree,"Caucasian ",,Female,,2022,,"Oak Yard (Canaday, Thayer)",,,,,Mathematics,,,,
2018-11-25 12:04:14,2018-11-25 12:06:09,IP Address,100,114,True,2018-11-25 12:06:10,R_1QauaiPJka7vuaL,email,EN,I consent to taking part in this survey.,"Politics,Research",,,,,,,,,,,,,5,"1 ",6,2,"1 ",3,,,,,,,,,,,,,,,,,,,"Netflix,YouTube or YouTube TV",,2,Less than half the time spent in class,Usually by myself,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Asian,,Male,,2022,,"Elm Yard (Grays, Matthews, Weld)",,,,,Applied Mathematics,,,,
2018-11-25 13:04:20,2018-11-25 13:09:27,IP Address,100,307,True,2018-11-25 13:09:28,R_1iljTEa4iRZ9ZZS,email,EN,I consent to taking part in this survey.,"Pre-Professional,Arts & Music,Politics",,,,,,,10,2,6,8,"1 ",6,2,"1 ",2,,,,,,,,,,,,,,,,,,,,,,"Netflix,Amazon Prime Video,YouTube or YouTube TV",,1,Less than half the time spent in class,Usually with others,Somewhat disagree,Strongly Agree,Strongly disagree,Somewhat disagree,Strongly Agree,Strongly disagree,Asian,,Female,,2021,,,,"River West (Eliot, Kirkland, Winthrop)",,6,Economics,,,,
2018-11-25 14:38:57,2018-11-25 14:42:27,IP Address,100,209,True,2018-11-25 14:42:27,R_322ZUL97SkPYqiv,email,EN,I consent to taking part in this survey.,"Service,Social,Arts & Music",2,2,5,"1 ","1 ",3,,,,5,2,8,,,,,,,,,,,,,,,,,,,,,,,,,"Netflix,Amazon Prime Video,YouTube or YouTube TV",,3,Less than half the time spent in class,Usually by myself,Strongly Agree,Strongly Agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,"Caucasian ",,Female,,2022,,"Ivy Yard (Apley Court, Hollis, Holworthy, Lionel, Massachusetts Hall, Mower, Stoughton, Straus)",,,,,Neurobiology,,,,
2018-11-25 18:17:25,2018-11-25 18:24:51,IP Address,100,445,True,2018-11-25 18:24:52,R_5iORNpTF9nmNDcB,email,EN,I consent to taking part in this survey.,"Service,Social,Club Sports Team,IM Sports",2,"1 ",3,2,"1 ",3,,,,,,,,,,,,,,,,,,,,,,,,,5,"1 ",4,3,"1 ",,YouTube or YouTube TV,,6,Less than half the time spent in class,Usually by myself,Strongly Agree,Somewhat agree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,"Caucasian ",,Male,,2019,,,,"River East (Dunster, Leverett, Mather)",,6,Human Developmental and Regenerative Biology,,,,
2018-11-25 23:18:36,2018-11-25 23:22:43,IP Address,100,246,True,2018-11-25 23:22:43,R_1E42yeMexIZpqjq,email,EN,I consent to taking part in this survey.,"Arts & Music,Tutoring/CA/TF",,,,,,,,,,6,3,7,,,,,,,,,,,,,2,"1 ",6,,,,,,,,,,"Netflix,YouTube or YouTube TV",,2,Less than half the time spent in class,Usually by myself,Strongly Agree,Somewhat agree,Strongly disagree,Somewhat disagree,Neutral,Strongly disagree,"Black/African,Other (please specify)",Mixed,Female,,2020,,,,"River West (Eliot, Kirkland, Winthrop)",,8,Anthropology,,,,
2018-11-27 12:56:05,2018-11-27 12:59:13,IP Address,100,186,True,2018-11-27 12:59:13,R_3h9E6pydVYV3FjM,email,EN,I consent to taking part in this survey.,"Service,Club Sports Team,IM Sports",4,"1 ",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"1 ",8,2,2,2,"Netflix,Amazon Prime Video,YouTube or YouTube TV",,6,About the same amount of time as the time spent in class,Usually by myself,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly Agree,Somewhat disagree,"Caucasian ",,Male,,2020,,,,"River East (Dunster, Leverett, Mather)",,4,Economics,,,,
